species,class,parameter,min,max,value,calibration
beech,parDormancyInduction,limitingPhotoperiod,12,13.5,12.7,
beech,parDormancyInduction,notLimitingPhotoperiod,11,12.5,11.7,
beech,parDormancyInduction,limitingTemperature,16,20,17.5,
beech,parDormancyInduction,notLimitingTemperature,4,6,4.9,
beech,parDormancyInduction,photoThermalThreshold,15,25,20,x
beech,parEndodormancy,limitingLowerTemperature,-10,-3,-6,
beech,parEndodormancy,notLimitingLowerTemperature,-4,-1,-3,
beech,parEndodormancy,notLimitingUpperTemperature,2,7,4.5,
beech,parEndodormancy,limitingUpperTemperature,6,10,8.6,
beech,parEndodormancy,chillingThreshold,60,150,110,x
beech,parEcodormancy,notLimitingTemperature,20,24,21.7,
beech,parEcodormancy,notLimitingPhotoperiod,9.5,12.5,11,
beech,parEcodormancy,photoThermalThreshold,1,12,9,x
beech,parGrowth,minimumTemperature,2,5,3.5,
beech,parGrowth,optimumTemperature,16,22,18.5,
beech,parGrowth,maximumTemperature,30,35,33,
beech,parGrowth,thermalThreshold,40,52,43,x
beech,parGreendown,thermalThreshold,70,95,85,x
beech,parSenescence,limitingPhotoperiod,12.7,13.5,13,
beech,parSenescence,notLimitingPhotoperiod,12,12.7,12,
beech,parSenescence,limitingTemperature,16,20,18,
beech,parSenescence,notLimitingTemperature,2,8,5.5,
beech,parSenescence,photoThermalThreshold,50,65,55,x
beech,parVegetationIndex,nVIGrowth,1.4,2,1.71,x
beech,parVegetationIndex,nVISenescence,0.2,0.4,.24,x
beech,parVegetationIndex,nVIGreendown,0.05,0.12,.09,x
beech,parVegetationIndex,nVIEcodormancy,0.1,1,.558,x
beech,parVegetationIndex,nVIEndodormancy,0.05,.2,.133,x
beech,parVegetationIndex,minimumVI,.1,.3,.225,x
beech,parVegetationIndex,maximumVI,.4,.7,.528,x